freq,syl,let,word,imag,conc,meaning,list
50,2,9,christmas,6.7,4.53,8.76,1
14,2,7,tempest,5.63,5.62,6.96,1
23,5,13,investigation,3.6,3.32,5.8,1
100,1,7,thought,2.77,1.28,5.32,1
100,2,7,college,6.2,6.38,7.28,1
1,3,11,blunderbuss,3.47,5.25,3.56,1
100,2,8,mountain,6.77,7,7.58,1
29,3,10,substitute,3.13,4.56,4.48,1
1,4,9,accordion,6.5,7,5.89,1
49,4,7,ability,2.67,2.03,5.6,1
22,2,7,tribute,3.57,3.12,5.52,1
3,2,8,kerchief,5.23,6.82,6.48,1
48,3,11,grandmother,6.43,6.66,6.08,1
21,2,7,captive,5.27,5.8,5.39,1
19,2,8,hardship,4.1,2.93,5.48,1
23,3,8,facility,2.73,2.2,4.64,1
7,3,8,exertion,4.33,2.88,6,1
20,3,7,admiral,6.2,6.35,6.11,1
4,3,7,recital,4.97,5.19,5.56,1
3,3,10,gymnastics,5.83,5.08,5.52,1
1,4,9,infirmary,5.63,6.43,6.65,1
7,3,9,appliance,5.73,6.45,6.64,1
28,4,11,competition,4.53,3.08,5.69,1
50,3,10,expression,3.57,2.48,6.13,1
50,4,9,situation,2.53,2.76,4.84,1
1,3,8,emporium,2.93,5.16,4.04,1
2,2,9,horsehair,5.67,6.8,6.2,1
19,5,13,determination,3.57,1.66,4.64,1
1,4,11,functionary,1.77,2.62,4.29,1
1,2,7,preview,4.03,4.14,4.12,1
50,3,7,library,6.73,6.87,6.4,1
3,3,8,scorpion,6.27,6.93,6.24,1
100,2,7,machine,6,6.75,5.88,1
7,3,8,lemonade,6.5,6.93,7.13,1
19,3,7,nursery,6.1,6.45,7.4,1
1,2,7,doorman,6.4,6.52,6.28,1
43,3,9,physician,6.37,6.59,5.92,1
3,4,11,predicament,3.3,2.18,4.64,1
6,2,7,blister,6.53,6.67,7.13,1
5,4,10,salutation,4.47,4.87,5.24,1
7,3,9,athletics,5.7,4.6,6.92,1
100,2,7,meeting,5.2,4.8,5,1
8,2,7,reptile,6,6.65,6.52,1
2,3,8,jeopardy,3.03,2,3.48,1
20,5,11,cooperation,3.4,1.92,4.67,1
1,4,8,busybody,5.17,5,5.5,1
4,3,8,ensemble,4.63,5.45,4.8,1
21,3,8,reaction,3.83,2.93,4.84,1
15,3,7,alcohol,6.47,6.87,6.08,1
25,2,10,background,4.03,4.1,5.88,1
100,2,8,railroad,6.27,6.76,6.6,1
1,3,11,subtraction,3.8,3.73,5.52,1
46,2,7,cottage,6.5,6.9,7.76,1
6,3,10,belongings,5.1,5.85,5.38,1
2,4,10,prosecutor,5,5.87,6.32,1
22,4,11,disposition,2.93,1.78,4.92,1
8,3,7,utensil,5.47,6.58,6.08,1
1,2,11,forethought,2.57,1.83,4.4,1
40,2,8,garments,5.83,6.59,6.2,1
24,3,8,intimate,5,2.03,5.13,1
8,2,7,bouquet,6.77,6.55,5.76,1
2,2,7,warbler,5.57,6.63,5.79,1
2,2,7,trellis,5.6,6.69,5,1
1,4,10,abdication,3.57,2.66,4.72,1
8,2,7,creator,3.87,3.97,5.68,1
19,2,9,northwest,4,3.97,5.76,1
2,2,9,headlight,6.43,6.9,6.32,1
100,2,9,knowledge,2.97,1.56,6.36,1
1,3,8,barnacle,4.5,6.2,5.69,1
1,2,8,offshoot,3.67,4.2,5.46,1
1,3,8,islander,5.43,6.28,5.48,1
2,3,8,homicide,4.17,3.81,6.24,1
31,3,9,agreement,3.33,2.93,4.48,1
19,2,7,fatigue,5.07,4.28,3.88,1
1,3,8,semester,3.53,3.88,5.48,1
1,3,8,betrayal,3.57,1.77,5,1
9,3,10,discretion,2.27,1.34,4.2,1
37,4,8,capacity,3.4,2.41,5.44,1
28,5,11,examination,6.07,5.14,7,1
1,2,7,buffoon,4.33,4.63,4.5,1
1,3,7,acrobat,6.53,6.38,5.67,1
6,2,7,leopard,6.77,7,6.83,1
20,2,7,charter,3.83,5.05,4.89,1
21,3,8,devotion,3.9,1.48,5.52,1
22,2,7,butcher,6.27,6.42,6.72,1
2,2,7,skillet,6.1,6.8,7.43,1
7,3,7,caravan,5.83,6.15,6.52,1
100,3,7,opinion,3.23,2.29,4.96,1
3,3,9,blasphemy,3.17,2.88,5.19,1
2,5,12,eccentricity,3.77,2.27,4.04,1
8,2,7,glacier,6.07,6.93,7.21,1
25,4,8,ceremony,5.37,4.58,5.17,1
1,3,10,wholesaler,3.87,6.15,4.88,1
10,3,8,illusion,3.53,2.03,4.67,1
1,5,12,emancipation,3.2,2.49,5.2,1
1,4,7,alimony,4.47,4.87,5.72,1
8,2,7,outcome,2.4,2.8,4.24,1
28,2,7,steamer,6.53,6.94,6.32,1
100,4,8,material,5.07,6.1,5.92,1
1,2,8,frontage,4.57,5.46,5.36,1
22,3,10,permission,2.87,4.43,4.68,1
1,4,9,amplifier,5.8,6.53,5.96,1
1,2,9,workhouse,4,6.31,4.88,1
20,2,8,hillside,6.3,6.59,6.92,1
23,3,8,disaster,5.1,4.12,6.56,1
41,2,8,forehead,6.27,6.93,5.08,1
50,3,10,confidence,3.4,1.52,4.17,1
100,3,8,interest,3.13,2.2,5.52,1
22,3,9,ignorance,3.57,1.75,4,1
9,3,8,revolver,6.7,6.96,7.4,1
5,3,8,lecturer,5.7,6.49,5.88,1
48,2,8,pressure,4.1,3.63,5.8,1
50,3,9,professor,6.17,6.52,5.4,1
1,5,10,originator,3.3,5.43,4.48,1
50,3,8,property,4.87,5.99,5.76,1
1,3,9,medallion,5.87,6.73,6.32,1
21,2,8,contents,3.57,4.25,5,1
26,3,11,distinction,2.7,2.2,3.8,1
50,3,8,attitude,2.77,1.83,5.6,1
8,4,9,violation,3.57,2.92,5.92,1
50,2,8,marriage,5.8,3.94,6.29,1
5,3,10,underworld,4.37,4.43,5.76,1
4,2,9,cleanness,4.77,3.63,5.64,1
1,2,7,boredom,3.83,1.94,4.63,1
25,2,7,speaker,5.67,6.13,5.54,1
1,4,10,exactitude,2.23,1.69,3,1
9,3,9,ownership,3.27,3.07,5.2,1
5,3,9,vigilance,3.53,2.6,5.72,1
50,4,11,development,3.07,2.82,6.04,1
2,4,8,sobriety,3.5,2.9,4.52,1
29,2,8,blessing,4.43,1.75,6.19,1
4,3,7,mastery,2.77,2.2,5.46,1
3,3,11,distraction,3.23,2.35,4.12,1
25,2,7,prairie,6.47,6.8,8.16,1
1,4,8,allegory,2.13,2.56,4.48,1
20,4,9,democracy,2.47,1.79,5.72,1
50,3,8,magazine,6.4,6.8,6.52,1
2,2,9,storeroom,5.87,6.73,6.52,1
100,1,8,strength,4.63,2.9,5.12,1
45,3,9,candidate,4.67,5.53,5.76,1
50,3,7,factory,6.43,6.87,6,1
50,3,9,advantage,2.37,2.25,4.48,1
3,2,7,sunburn,6.7,6.52,7.72,1
19,4,11,caterpillar,6.57,6.96,6.88,1
19,3,7,loyalty,4.07,1.56,5.72,1
10,3,9,orchestra,6.77,6.55,6.76,1
19,2,10,blacksmith,6.17,6.83,7.44,1
8,2,7,spinach,6.47,6.9,7.08,1
9,3,10,combustion,5.1,4.98,6.72,1
1,4,10,unbeliever,2.6,4,4.72,1
100,3,8,position,2.97,3.31,6.24,1
13,3,8,umbrella,6.6,7,6.76,1
4,4,10,hypothesis,2.4,2.25,5.36,1
1,2,10,guardhouse,5.8,6.69,5.76,1
35,3,8,elephant,6.83,7,6.88,1
1,2,7,juggler,6.1,6.45,5.84,1
4,5,9,animosity,3.6,1.81,5.19,1
1,5,11,unification,2.77,2.51,4.76,1
20,3,9,sensation,3.67,1.99,5.16,1
2,3,9,diffusion,3.4,3.18,5.67,1
1,4,9,criterion,1.83,1.93,3,1
2,3,10,disclosure,2.17,2.51,3.56,1
1,4,9,disparity,2.7,2.07,3.52,1
9,3,7,dynasty,3.63,4.14,6.28,1
3,3,10,rendezvous,5.2,4,6.04,1
3,2,7,concept,1.93,1.97,3.76,1
19,3,9,socialist,3.13,4.69,4.54,1
17,2,7,pudding,6.27,6.6,7.31,1
